held_out_subject,baseline,aligned
1,0.5333333333333333,0.6888888888888889
2,0.5111111111111111,0.5777777777777777
3,0.5111111111111111,0.4444444444444444
4,0.4888888888888889,0.6888888888888889
5,0.5333333333333333,0.5555555555555556
6,0.5333333333333333,0.5555555555555556
7,0.7777777777777778,0.8222222222222222
8,0.5333333333333333,0.5333333333333333
9,0.5111111111111111,0.5111111111111111
