model,mean_accuracy,std_accuracy
Baseline Riemannian,0.5481481481481482,0.08748897637790902
Aligned Riemannian,0.5975308641975309,0.11517268004049047
Simple EEGNet,0.491358024691358,0.0878019969713311
RCSP + Riemannian Fusion,0.6148148148148148,0.08089010988089466
