held_out_subject,accuracy,n_train_trials,n_test_trials
1,0.6888888888888889,360,45
2,0.5777777777777777,360,45
3,0.4444444444444444,360,45
4,0.6888888888888889,360,45
5,0.5555555555555556,360,45
6,0.5555555555555556,360,45
7,0.8222222222222222,360,45
8,0.5333333333333333,360,45
9,0.5111111111111111,360,45
