held_out_subject,accuracy
1,0.4888888888888889
2,0.35555555555555557
3,0.5111111111111111
4,0.6444444444444445
5,0.4888888888888889
6,0.4222222222222222
7,0.4444444444444444
8,0.4666666666666667
9,0.6
