held_out_subject,accuracy,n_train_trials,n_test_trials
1,0.6444444444444445,360,45
2,0.6444444444444445,360,45
3,0.5333333333333333,360,45
4,0.6222222222222222,360,45
5,0.5333333333333333,360,45
6,0.6666666666666666,360,45
7,0.7777777777777778,360,45
8,0.5333333333333333,360,45
9,0.5777777777777777,360,45
