held_out_subject,accuracy,n_train_trials,n_test_trials
1,0.5333333333333333,360,45
2,0.5111111111111111,360,45
3,0.5111111111111111,360,45
4,0.4888888888888889,360,45
5,0.5333333333333333,360,45
6,0.5333333333333333,360,45
7,0.7777777777777778,360,45
8,0.5333333333333333,360,45
9,0.5111111111111111,360,45
